Ward,Tory.Total,Kees.Total,Goldy.Total,Other.Total,Station,Latitude,Longitude,Num.Trips
13,51.16051719,36.47114475,2.182276884,10.18606118,Bay St / St Joseph St,43.665527,-79.387499,24783
13,51.16051719,36.47114475,2.182276884,10.18606118,Jarvis St / Dundas St E,43.6570469,-79.3745394,3631
13,51.16051719,36.47114475,2.182276884,10.18606118,Bay St / Albert St,43.653264,-79.382458,36088
13,51.16051719,36.47114475,2.182276884,10.18606118,Parliament St / Bloor St E,43.6720333,-79.370728,1068
13,51.16051719,36.47114475,2.182276884,10.18606118,Front St E / Cherry St,43.6526324,-79.3580917,2975
13,51.16051719,36.47114475,2.182276884,10.18606118,Jarvis St / Carlton St,43.66207,-79.37617,16250
13,51.16051719,36.47114475,2.182276884,10.18606118,Mill St / Tannery Rd,43.652154,-79.3543446,1962
13,51.16051719,36.47114475,2.182276884,10.18606118,Dundas St / Yonge St,43.656094,-79.381484,43336
13,51.16051719,36.47114475,2.182276884,10.18606118,Jarvis St / Isabella St,43.669192,-79.379128,18347
13,51.16051719,36.47114475,2.182276884,10.18606118,Seaton St / Dundas St E,43.6586458,-79.3694957,3579
13,51.16051719,36.47114475,2.182276884,10.18606118,Queen St E / Berkely St,43.655317,-79.3657508,1742
13,51.16051719,36.47114475,2.182276884,10.18606118,Gerrard St E / River St,43.6636944,-79.3592313,1818
13,51.16051719,36.47114475,2.182276884,10.18606118,Dundonald St / Church St,43.6667003,-79.3813459,6539
13,51.16051719,36.47114475,2.182276884,10.18606118,King St E / River St,43.656868,-79.3561681,5171
13,51.16051719,36.47114475,2.182276884,10.18606118,Cherry St / Mill St,43.6513499,-79.3573594,4759
13,51.16051719,36.47114475,2.182276884,10.18606118,Bond St / Queen St E,43.653236,-79.376716,21977
13,51.16051719,36.47114475,2.182276884,10.18606118,Parliament St / Gerrard St,43.661149,-79.366648,13233
13,51.16051719,36.47114475,2.182276884,10.18606118,Parliament St / Aberdeen Ave,43.6650445,-79.3682814,3025
13,51.16051719,36.47114475,2.182276884,10.18606118,Dundas St E / Regent Park Blvd,43.6603557,-79.3618038,7751
13,51.16051719,36.47114475,2.182276884,10.18606118,Victoria St / Gould St (Ryerson University),43.6576585,-79.3788017,7771
13,51.16051719,36.47114475,2.182276884,10.18606118,King St W / Bay St (East Side),43.6487191,-79.3796276,7529
13,51.16051719,36.47114475,2.182276884,10.18606118,McGill St / Church St,43.660678,-79.3788522,4510
13,51.16051719,36.47114475,2.182276884,10.18606118,King St E / Jarvis St,43.650325,-79.372287,26817
13,51.16051719,36.47114475,2.182276884,10.18606118,Gould St / Mutual St,43.6582,-79.3768,31784
13,51.16051719,36.47114475,2.182276884,10.18606118,Church St / Alexander St,43.6636,-79.3806,23604
13,51.16051719,36.47114475,2.182276884,10.18606118,Sherbourne St / Carlton St (Allan Gardens),43.6617585,-79.3746818,7977
13,51.16051719,36.47114475,2.182276884,10.18606118,Howard St / Sherbourne St,43.6712495,-79.3764212,4856
13,51.16051719,36.47114475,2.182276884,10.18606118,King St W / Bay St (West Side),43.6487191,-79.3796276,10723
13,51.16051719,36.47114475,2.182276884,10.18606118,Princess St / Adelaide St,43.6523981,-79.3673842,13846
13,51.16051719,36.47114475,2.182276884,10.18606118,Scott St / The Esplanade,43.64656,-79.375274,23265
13,51.16051719,36.47114475,2.182276884,10.18606118,Wellesley St E / Yonge St Green P,43.664929,-79.3845625,8508
13,51.16051719,36.47114475,2.182276884,10.18606118,Dundas St E / Parliament St,43.6594276,-79.3659956,7292
13,51.16051719,36.47114475,2.182276884,10.18606118,Yonge St / Wood St,43.6620286,-79.383353,6201
13,51.16051719,36.47114475,2.182276884,10.18606118,Queen St E / George St (Moss Park),43.6539577,-79.372065,3068
13,51.16051719,36.47114475,2.182276884,10.18606118,Queen St E / Sackville St,43.6562647,-79.361453,1482
13,51.16051719,36.47114475,2.182276884,10.18606118,Sherbourne St / Wellesley St,43.6673,-79.374,32318
13,51.16051719,36.47114475,2.182276884,10.18606118,Wellington St W / Bay St,43.647331,-79.379673,40120
13,51.16051719,36.47114475,2.182276884,10.18606118,Carlton St / Parliament St,43.6642764,-79.3679725,3953
13,51.16051719,36.47114475,2.182276884,10.18606118,Temperance St / Yonge St,43.650855,-79.379492,26179
13,51.16051719,36.47114475,2.182276884,10.18606118,Richmond St E / Jarvis St Green P,43.6524382,-79.3766754,6129
13,51.16051719,36.47114475,2.182276884,10.18606118,Trinity St /Front St E,43.6520867,-79.3603354,7216
14,53.22672169,36.6236781,2.651534692,7.498065515,Danforth Ave / Ellerbeck St,43.676679,-79.356409,2083
14,53.22672169,36.6236781,2.651534692,7.498065515,Boston Ave / Queen St E,43.6613414,-79.3387986,3722
14,53.22672169,36.6236781,2.651534692,7.498065515,Danforth Ave / Gough Ave,43.6786924,-79.3461056,1469
14,53.22672169,36.6236781,2.651534692,7.498065515,Chester Station,43.6782356,-79.3524545,1405
14,53.22672169,36.6236781,2.651534692,7.498065515,Riverdale Park North (Broadview Ave),43.6707898,-79.3561254,1955
14,53.22672169,36.6236781,2.651534692,7.498065515,Riverdale Park South (Broadview Ave),43.6707898,-79.3561254,2144
14,53.22672169,36.6236781,2.651534692,7.498065515,Dundas St E / Broadview Ave,43.6624391,-79.3513456,2864
14,53.22672169,36.6236781,2.651534692,7.498065515,Donlands Station,43.6808917,-79.3377455,1080
14,53.22672169,36.6236781,2.651534692,7.498065515,Jimmie Simpson Park (Queen St E),43.6604409,-79.3453882,2394
14,53.22672169,36.6236781,2.651534692,7.498065515,Danforth Ave / Lamb Ave,43.6821189,-79.3293481,969
14,53.22672169,36.6236781,2.651534692,7.498065515,Jimmie Simpson Park (Queen St E),43.6612075,-79.3447934,2394
14,53.22672169,36.6236781,2.651534692,7.498065515,Pape Subway Green P,43.6795523,-79.3453774,536
19,61.01559376,29.25496468,2.74823404,6.981207517,Danforth Ave / Aldridge Ave,43.6847323,-79.3171844,761
19,61.01559376,29.25496468,2.74823404,6.981207517,Mortimer Ave / Coxwell Ave,43.6905839,-79.326557,765
19,61.01559376,29.25496468,2.74823404,6.981207517,Danforth Ave / Coxwell Ave,43.6833563,-79.3235888,1090
19,61.01559376,29.25496468,2.74823404,6.981207517,Stephenson Ave / Main St,43.6877284,-79.301609,495
19,61.01559376,29.25496468,2.74823404,6.981207517,Woodbine Subway Green P (Cedarvale Ave),43.686833,-79.3110491,325
19,61.01559376,29.25496468,2.74823404,6.981207517,Danforth Ave / Barrington Ave,43.6884404,-79.3005649,365
19,61.01559376,29.25496468,2.74823404,6.981207517,Danforth Ave / Westlake Ave,43.6874331,-79.3052146,247
